TARIH_DATE,GUN_TIPI,MEVSIM,CALISMA_DURUMU,AY_ADI,GUN_BILGISI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,KAZA_SAYISI
2022-01-18,Hafta İçi,Kış,İş Günü,January,Tuesday,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,1.0,8.0,9.0,10.0,9.0,12
2022-01-19,Hafta İçi,Kış,İş Günü,January,Wednesday,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,1.0,8.0,9.0,10.0,16
2022-01-20,Hafta İçi,Kış,İş Günü,January,Thursday,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,1.0,8.0,9.0,15
2022-01-21,Hafta İçi,Kış,İş Günü,January,Friday,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,1.0,8.0,7
2022-01-22,Hafta Sonu,Kış,Tatil Günü,January,Saturday,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,1.0,3
2022-01-23,Hafta Sonu,Kış,Tatil Günü,January,Sunday,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,3.0,4
2022-01-24,Hafta İçi,Kış,İş Günü,January,Monday,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,9.0,9
2022-01-25,Hafta İçi,Kış,İş Günü,January,Tuesday,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7.0,12
2022-01-26,Hafta İçi,Kış,İş Günü,January,Wednesday,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10.0,7
2022-01-27,Hafta İçi,Kış,İş Günü,January,Thursday,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,13.0,10
2022-01-28,Hafta İçi,Kış,İş Günü,January,Friday,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,10.0,22
2022-01-29,Hafta Sonu,Kış,Tatil Günü,January,Saturday,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,4.0,5
2022-01-30,Hafta Sonu,Kış,Tatil Günü,January,Sunday,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,1.0,3
2022-01-31,Hafta İçi,Kış,İş Günü,January,Monday,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,10.0,17
2022-02-01,Hafta İçi,Kış,İş Günü,February,Tuesday,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,12.0,11
2022-02-02,Hafta İçi,Kış,İş Günü,February,Wednesday,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,5.0,10
2022-02-03,Hafta İçi,Kış,İş Günü,February,Thursday,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,2.0,10
2022-02-04,Hafta İçi,Kış,İş Günü,February,Friday,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,8.0,9
2022-02-05,Hafta Sonu,Kış,Tatil Günü,February,Saturday,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,11.0,7
2022-02-06,Hafta Sonu,Kış,Tatil Günü,February,Sunday,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,4.0,6
2022-02-07,Hafta İçi,Kış,İş Günü,February,Monday,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,14.0,9
2022-02-08,Hafta İçi,Kış,İş Günü,February,Tuesday,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12.0,9
2022-02-09,Hafta İçi,Kış,İş Günü,February,Wednesday,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,16.0,12
2022-02-10,Hafta İçi,Kış,İş Günü,February,Thursday,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,15.0,9
2022-02-11,Hafta İçi,Kış,İş Günü,February,Friday,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7.0,20
2022-02-12,Hafta Sonu,Kış,Tatil Günü,February,Saturday,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,3.0,7
2022-02-13,Hafta Sonu,Kış,Tatil Günü,February,Sunday,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,4.0,2
2022-02-14,Hafta İçi,Kış,İş Günü,February,Monday,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,9.0,14
2022-02-15,Hafta İçi,Kış,İş Günü,February,Tuesday,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,12.0,12
2022-02-16,Hafta İçi,Kış,İş Günü,February,Wednesday,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,7.0,7
2022-02-17,Hafta İçi,Kış,İş Günü,February,Thursday,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,10.0,14
