Street,Frequency,Model_Type,Params,MAE,Improvement_Pct
ANKARA CADDESI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.5482207133012253,19.190039622781992
ALTINYOL CADDESI,Daily,Baseline,Mean,0.5327655767040833,0.0
ALTINYOL CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.0033020615786266,-88.3196109976707
ALTINYOL CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.6322953368832591,-206.3815321893241
ALTINYOL CADDESI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.5880017789806345,-10.36782492935563
ALTINYOL CADDESI,Daily,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",0.5714482949392532,-7.260739042953525
ALTINYOL CADDESI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.5644952756902417,-5.955658618646488
ALTINYOL CADDESI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.635157549916645,-19.218954393788426
YEŞILLIK CADDESI,Daily,Baseline,Mean,0.5555555555555555,0.0
YEŞILLIK CADDESI,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.9154040183863176,-64.7727233095372
YEŞILLIK CADDESI,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.5052941956320034,-170.95295521376067
YEŞILLIK CADDESI,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.543116765114276,2.2389822794303087
YEŞILLIK CADDESI,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.5444257520431983,2.0033646322242875
YEŞILLIK CADDESI,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.5434720463467859,2.1750316575785194
YEŞILLIK CADDESI,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.5604310989734036,-0.8775978152126631
YEŞILDERE CADDESI,Weekly,Baseline,Mean,4.434397163120567,0.0
YEŞILDERE CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.250059089155306,26.707983755154235
YEŞILDERE CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",9.360130771904723,-111.0801181669038
YEŞILDERE CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.7496740884679682,37.992155701881885
YEŞILDERE CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.8775089333048114,35.109354722754354
YEŞILDERE CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",4.856654331879436,-9.522312802079238
YEŞILDERE CADDESI,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",2.877973896952484,35.09886933701715
ANADOLU CADDESI,Weekly,Baseline,Mean,4.358156028368795,0.0
ANADOLU CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",4.716028389823912,-8.211554591565761
ANADOLU CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",10.771980216219925,-147.1683011370235
ANADOLU CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.8116575694224846,12.539671718702964
ANADOLU CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",4.0088955249635925,8.013951339321967
ANADOLU CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",4.419792981835691,-1.4142897378083672
ANADOLU CADDESI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",3.9725155723207455,8.848706965463778
MÜRSELPAŞA BULVARI,Weekly,Baseline,Mean,2.716312056737589,0.0
MÜRSELPAŞA BULVARI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.5088105742705733,7.639088519020685
MÜRSELPAŞA BULVARI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",9.837802925800283,-262.1749902187571
MÜRSELPAŞA BULVARI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5963177101641628,41.232167850353285
MÜRSELPAŞA BULVARI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.6607166059688563,38.8613468820865
MÜRSELPAŞA BULVARI,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 1, 1, 52)",3.118624538603943,-14.810981708395786
MÜRSELPAŞA BULVARI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.6423255707556137,39.538405880798564
AKÇAY CADDESI,Weekly,Baseline,Mean,2.805851063829787,0.0
AKÇAY CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.821355738351,-0.5525836606612431
AKÇAY CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",9.883166770991252,-252.23419013201055
AKÇAY CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.591284618550691,7.647107433643607
AKÇAY CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.47709284507857,11.716880592460429
AKÇAY CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",4.0197911517898,-43.26459460407251
AKÇAY CADDESI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.5410079433716484,9.43895860590143
MUSTAFA KEMAL SAHIL BULVARI,Weekly,Baseline,Mean,2.3404255319148928,0.0
MUSTAFA KEMAL SAHIL BULVARI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.0021813408969096,14.452251798041104
MUSTAFA KEMAL SAHIL BULVARI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",8.347980827772112,-256.6864535502631
MUSTAFA KEMAL SAHIL BULVARI,Weekly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",2.139522686589336,8.584030663910157
MUSTAFA KEMAL SAHIL BULVARI,Weekly,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",2.2605046328950396,3.414802049030093
MUSTAFA KEMAL SAHIL BULVARI,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 1, 1, 52)",3.994721992269373,-70.68357603332782
MUSTAFA KEMAL SAHIL BULVARI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.1288563784416414,9.039772921129833
ANKARA CADDESI,Weekly,Baseline,Mean,3.168439716312056,0.0
ANKARA CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.686694071643427,15.204507196032846
ANKARA CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",5.850089384103865,-84.63628498234921
ANKARA CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.4481112183983087,22.73448644786534
ANKARA CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.4141368456585988,23.806760998799668
ANKARA CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",4.661131148208176,-47.111246087823815
ANKARA CADDESI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.4166666666666665,23.726916620033567
ALTINYOL CADDESI,Weekly,Baseline,Mean,2.622340425531915,0.0
ALTINYOL CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.9885086528145972,24.170461109707045
ALTINYOL CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",4.673310950153034,-78.21145205451732
ALTINYOL CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.9820576153818112,24.41646415988225
ALTINYOL CADDESI,Weekly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.9403759883969183,26.005946081415694
ALTINYOL CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.991969313557675,-14.095381531205456
