Street,Frequency,Model,MAE,Improvement_Pct
ANADOLU CADDESI,Weekly,GradientBoosting,5.460495258854997,-25.29370732279162
ANADOLU CADDESI,Weekly,KNN,4.1000000000000005,5.92351505288852
ANADOLU CADDESI,Weekly,SVR,3.791245623722439,13.008033694896035
MÜRSELPAŞA BULVARI,Weekly,DummyRegressor,2.716312056737589,0.0
MÜRSELPAŞA BULVARI,Weekly,LinearRegression,1.92887738181192,28.989109442433243
MÜRSELPAŞA BULVARI,Weekly,Ridge,1.835835452296313,32.41441285279893
MÜRSELPAŞA BULVARI,Weekly,Lasso,1.7268914007962513,36.42514686363671
MÜRSELPAŞA BULVARI,Weekly,RandomForest,1.6431317276830726,39.50872751871718
MÜRSELPAŞA BULVARI,Weekly,GradientBoosting,2.405562462186276,11.440128676693245
MÜRSELPAŞA BULVARI,Weekly,KNN,1.7833333333333339,34.34725848563968
MÜRSELPAŞA BULVARI,Weekly,SVR,1.9085461222471138,29.73759706609843
AKÇAY CADDESI,Weekly,DummyRegressor,2.805851063829787,0.0
AKÇAY CADDESI,Weekly,LinearRegression,2.4065597624692905,14.23066628545466
AKÇAY CADDESI,Weekly,Ridge,2.43355054648949,13.268719859711057
AKÇAY CADDESI,Weekly,Lasso,2.447112105408049,12.785388470765252
AKÇAY CADDESI,Weekly,RandomForest,3.4575000000000014,-23.224644549763095
AKÇAY CADDESI,Weekly,GradientBoosting,3.764796433009149,-34.17663116696116
AKÇAY CADDESI,Weekly,KNN,2.516666666666666,10.306477093206958
AKÇAY CADDESI,Weekly,SVR,3.2312581012924,-15.161426169283661
MUSTAFA KEMAL SAHIL BULVARI,Weekly,DummyRegressor,2.3404255319148928,0.0
MUSTAFA KEMAL SAHIL BULVARI,Weekly,LinearRegression,2.942914280823364,-25.742701089725607
MUSTAFA KEMAL SAHIL BULVARI,Weekly,Ridge,2.8751440238974433,-22.84706283925444
MUSTAFA KEMAL SAHIL BULVARI,Weekly,Lasso,2.8770014121894523,-22.92642397536755
MUSTAFA KEMAL SAHIL BULVARI,Weekly,RandomForest,1.9339642857142862,17.366980519480467
MUSTAFA KEMAL SAHIL BULVARI,Weekly,GradientBoosting,1.9455480246235535,16.872038947902684
MUSTAFA KEMAL SAHIL BULVARI,Weekly,KNN,2.0,14.545454545454515
MUSTAFA KEMAL SAHIL BULVARI,Weekly,SVR,2.1128541963121648,9.723502521207473
ANKARA CADDESI,Weekly,DummyRegressor,3.168439716312056,0.0
ANKARA CADDESI,Weekly,LinearRegression,2.479930315343457,21.7302351508836
ANKARA CADDESI,Weekly,Ridge,2.49577626848793,21.230116652087705
ANKARA CADDESI,Weekly,Lasso,2.413531576253771,23.825864073467994
ANKARA CADDESI,Weekly,RandomForest,2.5661875,19.007848349188574
ANKARA CADDESI,Weekly,GradientBoosting,3.0891882396465538,2.5012777190455147
ANKARA CADDESI,Weekly,KNN,2.6166666666666667,17.414661443760476
ANKARA CADDESI,Weekly,SVR,2.501372854195673,21.053481266571925
ALTINYOL CADDESI,Weekly,DummyRegressor,2.622340425531915,0.0
ALTINYOL CADDESI,Weekly,LinearRegression,2.0728316323387994,20.954899213043756
ALTINYOL CADDESI,Weekly,Ridge,2.056785601598193,21.566796531346792
ALTINYOL CADDESI,Weekly,Lasso,2.0460153261879217,21.97750885936526
ALTINYOL CADDESI,Weekly,RandomForest,1.8931416847041849,27.807173078217694
ALTINYOL CADDESI,Weekly,GradientBoosting,1.7321609561644762,33.94599193531004
ALTINYOL CADDESI,Weekly,KNN,1.9500000000000002,25.638945233265716
ALTINYOL CADDESI,Weekly,SVR,1.9275316558502267,26.49575024343963
YEŞILLIK CADDESI,Weekly,DummyRegressor,2.1702127659574466,0.0
YEŞILLIK CADDESI,Weekly,LinearRegression,1.5881705390415846,26.819592808868155
YEŞILLIK CADDESI,Weekly,Ridge,1.544722319521706,28.82161861027433
YEŞILLIK CADDESI,Weekly,Lasso,1.5642710602774332,27.920843300941794
YEŞILLIK CADDESI,Weekly,RandomForest,1.5066666666666666,30.575163398692805
YEŞILLIK CADDESI,Weekly,GradientBoosting,1.6995203445901617,21.688768435551367
YEŞILLIK CADDESI,Weekly,KNN,1.5,30.882352941176467
YEŞILLIK CADDESI,Weekly,SVR,1.4888150346191171,31.397738600883812
YEŞILDERE CADDESI,Monthly,DummyRegressor,24.96666666666667,0.0
YEŞILDERE CADDESI,Monthly,LinearRegression,11.337231083294071,54.5905297064323
YEŞILDERE CADDESI,Monthly,Ridge,11.342138614812578,54.57087337191224
YEŞILDERE CADDESI,Monthly,Lasso,11.351373113839829,54.53388605938654
YEŞILDERE CADDESI,Monthly,RandomForest,18.378333333333334,26.38851802403205
YEŞILDERE CADDESI,Monthly,GradientBoosting,18.87519059744984,24.39843552423295
YEŞILDERE CADDESI,Monthly,KNN,14.433333333333337,42.18958611481975
YEŞILDERE CADDESI,Monthly,SVR,24.09583301730608,3.48798524443493
ANADOLU CADDESI,Monthly,DummyRegressor,6.016666666666666,0.0
ANADOLU CADDESI,Monthly,LinearRegression,5.908767413688746,1.793339384674573
ANADOLU CADDESI,Monthly,Ridge,6.013801265197884,0.047624401143185655
ANADOLU CADDESI,Monthly,Lasso,6.092730032386503,-1.2642110645956302
ANADOLU CADDESI,Monthly,RandomForest,5.64,6.26038781163434
ANADOLU CADDESI,Monthly,GradientBoosting,6.633808137607756,-10.257198963009804
ANADOLU CADDESI,Monthly,KNN,5.266666666666667,12.465373961218825
ANADOLU CADDESI,Monthly,SVR,5.088983468655354,15.418557307667227
MÜRSELPAŞA BULVARI,Monthly,DummyRegressor,11.758333333333331,0.0
MÜRSELPAŞA BULVARI,Monthly,LinearRegression,7.118693496646226,39.45831186410012
MÜRSELPAŞA BULVARI,Monthly,Ridge,7.051197836620531,40.032335904006814
MÜRSELPAŞA BULVARI,Monthly,Lasso,7.095191482569288,39.6581872495879
MÜRSELPAŞA BULVARI,Monthly,RandomForest,6.420000000000001,45.40042523033308
MÜRSELPAŞA BULVARI,Monthly,GradientBoosting,3.85654466231286,67.20160457281763
MÜRSELPAŞA BULVARI,Monthly,KNN,5.633333333333333,52.09071580439404
MÜRSELPAŞA BULVARI,Monthly,SVR,9.426469804362869,19.831582103221514
AKÇAY CADDESI,Monthly,DummyRegressor,7.88333333333333,0.0
AKÇAY CADDESI,Monthly,LinearRegression,6.456779841622357,18.09581596250707
AKÇAY CADDESI,Monthly,Ridge,6.463145642317021,18.015065847987017
AKÇAY CADDESI,Monthly,Lasso,6.478596185485261,17.819075871222868
AKÇAY CADDESI,Monthly,RandomForest,6.085,22.8118393234672
AKÇAY CADDESI,Monthly,GradientBoosting,9.855337258603141,-25.014848946340106
AKÇAY CADDESI,Monthly,KNN,8.666666666666666,-9.93657505285416
