District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
BUCA,Daily,Baseline,Mean,0.5926041666666667,26.84895833333333,0.0
BUCA,Daily,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.4075022128132328,43.529396515529974,31.235344647441828
BUCA,Daily,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.2507571935388808,83.58573117962695,57.685550044414555
BUCA,Daily,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.40908414912457186,43.75747556757397,30.968398108702942
BUCA,Daily,ARIMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.40908414912457186,43.75747556757397,30.968398108702942
BUCA,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 7)",0.3892579650896305,35.35514954166736,34.31400132078656
BUCA,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.6409085979421231,14.772850514469237,-8.151213574343135
BAYRAKLI,Daily,Baseline,Mean,1.2603240740740738,69.48151861134319,0.0
BAYRAKLI,Daily,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",1.4645105360187978,55.57211094434415,-16.20110780592161
BAYRAKLI,Daily,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",2.514881772456503,99.28464481253673,-99.54246881335813
BAYRAKLI,Daily,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",1.2227131608241897,53.291818898929066,2.98422556734194
BAYRAKLI,Daily,ARIMA,"Order=(1, 1, 1), Seas=(0, 0, 0, 0)",1.2250364979435793,56.506628357619014,2.7998811461583264
BAYRAKLI,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 7)",1.220985476786621,56.40415330085027,3.121308090250812
BAYRAKLI,Daily,ExpSmoothing,"{'trend': 'add', 'seasonal': 'add', 'seasonal_periods': 7}",1.1573938360978355,46.10930513527581,8.166965948965016
KARABAĞLAR,Daily,Baseline,Mean,0.5602251483378038,43.670356946691996,0.0
KARABAĞLAR,Daily,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",1.149055747168028,67.94701870302394,-105.10606326354561
KARABAĞLAR,Daily,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",1.5589355724244085,97.56022390910748,-178.26947380884152
KARABAĞLAR,Daily,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.5706906049371354,30.550749390876042,-1.8680804727140128
KARABAĞLAR,Daily,ARIMA,"Order=(1, 1, 1), Seas=(0, 0, 0, 0)",0.5528006981675178,34.68377351542836,1.3252618509387675
KARABAĞLAR,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 7)",0.5525569656315705,34.73485174743913,1.368768026388118
KARABAĞLAR,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.5768765415419159,31.09662772790887,-2.9722680699924053
GAZİEMİR,Daily,Baseline,Mean,0.7923981955620581,44.13184937471698,0.0
GAZİEMİR,Daily,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",1.4215572113741808,60.15352802669533,-79.39934988946462
GAZİEMİR,Daily,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",2.096132756623796,94.4160565729678,-164.53022840832978
GAZİEMİR,Daily,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.7004777445765651,34.58094140579355,11.600285248036526
GAZİEMİR,Daily,ARIMA,"Order=(1, 1, 1), Seas=(0, 0, 0, 0)",0.6996719210602532,34.70775555904456,11.701979512463806
GAZİEMİR,Daily,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 7)",0.7096310842587311,35.181020836160485,10.445141314919233
GAZİEMİR,Daily,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 7}",0.6989811648419836,34.7634227955329,11.789152378598322
ÇİĞLİ,Weekly,Baseline,Mean,0.9166666666666666,50.0,0.0
ÇİĞLİ,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.7182001675187822,77.80925058968917,21.650890816132843
ÇİĞLİ,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.8250555165214001,98.75832747820999,9.993943652210897
ÇİĞLİ,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.7062326360282976,29.013153638458622,22.956439706003902
ÇİĞLİ,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.8287209859345248,41.20543192678582,9.594074261688199
ÇİĞLİ,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",0.867952406747463,45.03576362264913,5.314282900276761
ÇİĞLİ,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.9166666733873652,50.000000672069866,-7.331671148979136e-07
KARŞIYAKA,Weekly,Baseline,Mean,2.525709219858156,152.02369439071566,0.0
KARŞIYAKA,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",1.4500179096062809,62.059533822187596,42.58967349821394
KARŞIYAKA,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",2.2345751937448117,87.01380097976842,11.526822795923216
KARŞIYAKA,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",1.433862928990914,87.52773208083549,43.229295054343595
KARŞIYAKA,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",1.5271052708756174,93.54260416465145,39.537565968841825
KARŞIYAKA,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",1.4931702325379703,90.77141063114976,40.88115049832115
